ID,title,type,image,released,timeline,description,series,number,publisher,ranking
539,Shattered Empire #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/shattered_empire_3.jpg,10/14/2015,4.03,Operation Cinder hits Naboo as Leia meets with the queen. Meanwhile a strike team lead by Han Solo hits a secret ISB base.,Shattered Empire,3,Marvel,
540,Shattered Empire #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/shattered_empire_4.jpg,10/21/2015,4.11,"Shara Bey and Kes Dameron have put in there papers and are ready to go live the lives they've fought so hard for. Before that, Shara goes on one last mission with none other than Commander Luke Skywalker.",Shattered Empire,4,Marvel,
541,Thrawn,TPB Adaptation,https://minirogue.github.io/SWCovers/TPB/thrawn.jpg,9/12/2018,-6,,Thrawn,,Marvel,
542,Thrawn #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_1.jpg,2/14/2018,-5.999,,Thrawn,1,Marvel,
543,Thrawn #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_2.jpg,3/14/2018,-5.998,,Thrawn,2,Marvel,
544,Thrawn #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_3.jpg,4/11/2018,-5.997,,Thrawn,3,Marvel,
545,Thrawn #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_4.jpg,5/9/2018,-5.996,,Thrawn,4,Marvel,
546,Thrawn #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_5.jpg,6/13/2018,-5.995,,Thrawn,5,Marvel,
547,Thrawn #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/thrawn_6.jpg,7/11/2018,-5.994,,Thrawn,6,Marvel,
548,Vader Down,TPB,https://minirogue.github.io/SWCovers/TPB/vader_down.jpg,4/19/2016,1.00234,Collects Vader Down #1 Star Wars #13-14 and Darth Vader #13-15,Marvel's Star Wars (2015),,Marvel,
549,Vader Down #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/vader_down_1.jpg,11/18/2015,1.00235,,Marvel's Star Wars (2015),,Marvel,
550,Star Wars Vol. 01: Skywalker Strikes,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_skywalker_strikes.jpg,10/6/2015,0.999,Collects Star Wars #1-6,Marvel's Star Wars (2015),1,Marvel,
551,Star Wars Vol. 02: Showdown on the Smuggler's Moon,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_showdown_on_the_smugglers_moon.jpg,1/26/2016,1.00129,Collects Star Wars #7-12,Marvel's Star Wars (2015),2,Marvel,
552,Star Wars Vol. 03: Rebel Jail,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_rebel_jail.jpg,8/16/2016,1.00308,Collects Star Wars #15-19 and Star Wars Annual #1,Marvel's Star Wars (2015),3,Marvel,
553,Star Wars Vol. 04: Last Flight of the Harbinger,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_last_flight_of_the_harbinger.jpg,1/31/2017,1.00419,Collects Star Wars #20-25,Marvel's Star Wars (2015),4,Marvel,
554,Star Wars Vol. 05: Yoda's Secret War,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_yodas_secret_war.jpg,7/18/2017,1.00519,Collects Star Wars #26-30 and Star Wars Annual #2,Marvel's Star Wars (2015),5,Marvel,
555,Star Wars Vol. 06: Out Among the Stars,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_out_among_the_stars.jpg,12/5/2017,1.00679,Collects Star Wars #33-37 and Star Wars Annual #3,Marvel's Star Wars (2015),6,Marvel,
556,Star Wars Vol. 07: The Ashes of Jedha,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_the_ashes_of_jedha.jpg,4/3/2018,1.00789,Collects Star Wars #38-43,Marvel's Star Wars (2015),7,Marvel,
557,Star Wars Vol. 08: Mutiny at Mon Cala,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_mutiny_at_mon_cala.jpg,8/7/2018,1.00889,Collects Star Wars #44-49,Marvel's Star Wars (2015),8,Marvel,
558,Star Wars Vol. 09: Hope Dies,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_hope_dies.jpg,12/24/2018,1.00998,Collects Star Wars #50-55 and Star Wars Annual #4,Marvel's Star Wars (2015),9,Marvel,
559,Star Wars Vol. 10: The Escape,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_the_escape.jpg,4/9/2019,1.01109,Collects Star Wars #56-61,Marvel's Star Wars (2015),10,Marvel,
560,Star Wars Vol. 11: The Scourging of Shu-Torun,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_the_scourging_of_shu_torun.jpg,8/20/2019,1.01209,Collects Star Wars #62-67,Marvel's Star Wars (2015),11,Marvel,
561,Star Wars #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_01.jpg,1/14/2015,1,,Marvel's Star Wars (2015),1,Marvel,
562,Star Wars #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_02.jpg,2/4/2015,1.0001,,Marvel's Star Wars (2015),2,Marvel,
563,Star Wars #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_03.jpg,3/11/2015,1.0002,,Marvel's Star Wars (2015),3,Marvel,
564,Star Wars #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_04.jpg,4/22/2015,1.0004,,Marvel's Star Wars (2015),4,Marvel,
565,Star Wars #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_05.jpg,5/20/2015,1.0009,,Marvel's Star Wars (2015),5,Marvel,
566,Star Wars #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_06.jpg,6/3/2015,1.001,,Marvel's Star Wars (2015),6,Marvel,
567,Star Wars #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_07.jpg,7/29/2015,1.0013,Luke reads about Obi-Wan's time on Tatooine from his journal.,Marvel's Star Wars (2015),7,Marvel,
568,Star Wars #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_08.jpg,8/19/2015,1.0015,"Han and Leia deal with an antagonistic Mrs. Solo. Meanwhile, Luke's search for information about the Jedi takes him to Nar Shadda.",Marvel's Star Wars (2015),8,Marvel,
569,Star Wars #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_09.jpg,9/16/2015,1.0017,,Marvel's Star Wars (2015),9,Marvel,
570,Star Wars #10,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_10.jpg,10/7/2015,1.0019,,Marvel's Star Wars (2015),10,Marvel,
571,Star Wars #11,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_11.jpg,11/4/2015,1.0021,,Marvel's Star Wars (2015),11,Marvel,
572,Star Wars #12,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_12.jpg,11/18/2015,1.0023,,Marvel's Star Wars (2015),12,Marvel,
573,Star Wars #13,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_13.jpg,12/2/2015,1.0025,,Marvel's Star Wars (2015),13,Marvel,
574,Star Wars #14,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_14.jpg,1/6/2016,1.0029,,Marvel's Star Wars (2015),14,Marvel,
575,Star Wars #15,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_15.jpg,1/20/2016,1.0031,,Marvel's Star Wars (2015),15,Marvel,
576,Star Wars #16,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_16.jpg,2/17/2016,1.0033,,Marvel's Star Wars (2015),16,Marvel,
577,Star Wars #17,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_17.jpg,3/23/2016,1.0035,,Marvel's Star Wars (2015),17,Marvel,
578,Star Wars #18,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_18.jpg,4/27/2016,1.0038,,Marvel's Star Wars (2015),18,Marvel,
579,Star Wars #19,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_19.jpg,5/25/2016,1.004,,Marvel's Star Wars (2015),19,Marvel,
580,Star Wars #20,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_20.jpg,6/15/2016,1.0042,,Marvel's Star Wars (2015),20,Marvel,
581,Star Wars #21,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_21.jpg,7/20/2016,1.0045,,Marvel's Star Wars (2015),21,Marvel,
582,Star Wars #22,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_22.jpg,8/24/2016,1.0047,,Marvel's Star Wars (2015),22,Marvel,
583,Star Wars #23,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_23.jpg,9/28/2016,1.0048,,Marvel's Star Wars (2015),23,Marvel,
584,Star Wars #24,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_24.jpg,10/26/2016,1.005,,Marvel's Star Wars (2015),24,Marvel,
585,Star Wars #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_25.jpg,11/23/2016,1.0051,,Marvel's Star Wars (2015),25,Marvel,
586,Star Wars #26,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_26.jpg,12/28/2016,1.0055,,Marvel's Star Wars (2015),26,Marvel,
587,Star Wars #27,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_27.jpg,1/25/2017,1.0057,,Marvel's Star Wars (2015),27,Marvel,
588,Star Wars #28,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_28.jpg,2/1/2017,1.0058,,Marvel's Star Wars (2015),28,Marvel,
589,Star Wars #29,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_29.jpg,3/1/2017,1.006,,Marvel's Star Wars (2015),29,Marvel,
590,Star Wars #30,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_30.jpg,4/5/2017,1.0062,,Marvel's Star Wars (2015),30,Marvel,
591,Star Wars #31,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_31.jpg,5/17/2017,1.0064,,Marvel's Star Wars (2015),31,Marvel,
592,Star Wars #32,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_32.jpg,6/14/2017,1.0066,,Marvel's Star Wars (2015),32,Marvel,
593,Star Wars #33,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_33.jpg,7/5/2017,1.0068,,Marvel's Star Wars (2015),33,Marvel,
594,Star Wars #34,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_34.jpg,8/16/2017,1.0072,,Marvel's Star Wars (2015),34,Marvel,
595,Star Wars #35,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_35.jpg,8/30/2017,1.0073,,Marvel's Star Wars (2015),35,Marvel,
596,Star Wars #36,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_36.jpg,9/13/2017,1.0075,,Marvel's Star Wars (2015),36,Marvel,
597,Star Wars #37,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_37.jpg,10/4/2017,1.0077,,Marvel's Star Wars (2015),37,Marvel,
598,Star Wars #38,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_38.jpg,11/8/2017,1.0079,,Marvel's Star Wars (2015),38,Marvel,
599,Star Wars #39,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_39.jpg,11/22/2017,1.0081,,Marvel's Star Wars (2015),39,Marvel,
600,Star Wars #40,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_40.jpg,12/13/2017,1.0082,,Marvel's Star Wars (2015),40,Marvel,
601,Star Wars #41,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_41.jpg,1/3/2018,1.0084,,Marvel's Star Wars (2015),41,Marvel,
602,Star Wars #42,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_42.jpg,1/17/2018,1.0085,,Marvel's Star Wars (2015),42,Marvel,
603,Star Wars #43,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_43.jpg,2/7/2018,1.0087,,Marvel's Star Wars (2015),43,Marvel,
604,Star Wars #44,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_44.jpg,3/7/2018,1.0089,,Marvel's Star Wars (2015),44,Marvel,
605,Star Wars #45,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_45.jpg,3/21/2018,1.009,,Marvel's Star Wars (2015),45,Marvel,
606,Star Wars #46,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_46.jpg,4/4/2018,1.0092,,Marvel's Star Wars (2015),46,Marvel,
607,Star Wars #47,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_47.jpg,5/2/2018,1.0094,,Marvel's Star Wars (2015),47,Marvel,
608,Star Wars #48,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_48.jpg,5/23/2018,1.0096,,Marvel's Star Wars (2015),48,Marvel,
609,Star Wars #49,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_49.jpg,6/6/2018,1.0098,,Marvel's Star Wars (2015),49,Marvel,
610,Star Wars #50,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_50.jpg,7/4/2018,1.01,,Marvel's Star Wars (2015),50,Marvel,
611,Star Wars #51,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_51.jpg,7/18/2018,1.0102,,Marvel's Star Wars (2015),51,Marvel,
612,Star Wars #52,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_52.jpg,8/1/2018,1.0104,,Marvel's Star Wars (2015),52,Marvel,
613,Star Wars #53,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_53.jpg,9/5/2018,1.0106,,Marvel's Star Wars (2015),53,Marvel,
614,Star Wars #54,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_54.jpg,9/19/2018,1.0107,,Marvel's Star Wars (2015),54,Marvel,
615,Star Wars #55,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_55.jpg,10/3/2018,1.0109,,Marvel's Star Wars (2015),55,Marvel,
616,Star Wars #56,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_56.jpg,11/7/2018,1.0111,,Marvel's Star Wars (2015),56,Marvel,
617,Star Wars #57,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_57.jpg,11/21/2018,1.0113,,Marvel's Star Wars (2015),57,Marvel,
618,Star Wars #58,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_58.jpg,12/5/2018,1.0114,,Marvel's Star Wars (2015),58,Marvel,
619,Star Wars #59,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_59.jpg,1/9/2019,1.0116,,Marvel's Star Wars (2015),59,Marvel,
620,Star Wars #60,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_60.jpg,1/23/2019,1.0117,,Marvel's Star Wars (2015),60,Marvel,
621,Star Wars #61,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_61.jpg,2/6/2019,1.0119,,Marvel's Star Wars (2015),61,Marvel,
622,Star Wars #62,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_62.jpg,3/6/2019,1.0121,,Marvel's Star Wars (2015),62,Marvel,
623,Star Wars #63,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_63.jpg,3/20/2019,1.0122,,Marvel's Star Wars (2015),63,Marvel,
624,Star Wars #64,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_64.jpg,4/3/2019,1.0124,,Marvel's Star Wars (2015),64,Marvel,
625,Star Wars #65,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_65.jpg,5/1/2019,1.0126,,Marvel's Star Wars (2015),65,Marvel,
626,Star Wars #66,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_66.jpg,5/15/2019,1.0128,,Marvel's Star Wars (2015),66,Marvel,
627,Star Wars #67,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_67.jpg,6/19/2019,1.0129,,Marvel's Star Wars (2015),67,Marvel,
628,Star Wars Annual #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_annual_1.jpg,12/9/2015,1.00309,,Marvel's Star Wars (2015),1,Marvel,
629,Star Wars Annual #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_annual_2.jpg,11/30/2016,1.0052,,Marvel's Star Wars (2015),2,Marvel,
630,Star Wars Annual #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_annual_3.jpg,9/20/2017,1.00775,,Marvel's Star Wars (2015),3,Marvel,
631,Star Wars Annual #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_annual_4.jpg,5/23/2018,1.00999,,Marvel's Star Wars (2015),4,Marvel,
632,C-3PO #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/c3po_1.jpg,4/13/2016,33.8,,,1,Marvel,
633,The Force Awakens #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_force_awakens_1.jpg,6/22/2016,34.001,,The Force Awakens (comic),1,Marvel,
634,The Force Awakens #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_force_awakens_2.jpg,7/27/2016,34.002,,The Force Awakens (comic),2,Marvel,
635,The Force Awakens #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_force_awakens_3.jpg,8/24/2016,34.003,,The Force Awakens (comic),3,Marvel,
636,The Force Awakens #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_force_awakens_4.jpg,9/14/2016,34.004,,The Force Awakens (comic),4,Marvel,
637,The Force Awakens #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_force_awakens_5.jpg,10/12/2016,34.005,,The Force Awakens (comic),5,Marvel,
638,The Force Awakens #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_force_awakens_6.jpg,11/9/2016,34.006,,The Force Awakens (comic),6,Marvel,
639,Rogue One: A Star Wars Story #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/rogue_one_1.jpg,4/5/2017,-0.099,,Rogue One: A Star Wars Story (comic),1,Marvel,
640,Rogue One: A Star Wars Story #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/rogue_one_2.jpg,5/3/2017,-0.098,,Rogue One: A Star Wars Story (comic),2,Marvel,
641,Rogue One: A Star Wars Story #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/rogue_one_3.jpg,6/7/2017,-0.097,,Rogue One: A Star Wars Story (comic),3,Marvel,
642,Rogue One: A Star Wars Story #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/rogue_one_4.jpg,7/5/2017,-0.096,,Rogue One: A Star Wars Story (comic),4,Marvel,
643,Rogue One: A Star Wars Story #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/rogue_one_5.jpg,8/2/2017,-0.095,,Rogue One: A Star Wars Story (comic),5,Marvel,
644,Rogue One: A Star Wars Story #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/rogue_one_6.jpg,9/6/2017,-0.094,,Rogue One: A Star Wars Story (comic),6,Marvel,
645,Screaming Citadel #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/screaming_citadel_1.jpg,5/10/2017,1.00635,,Marvel's Star Wars (2015),1,Marvel,
646,Droids Unplugged #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/droids_unplugged_1.jpg,6/28/2017,,,,1,Marvel,
647,Cassian & K-2SO #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/cassian_and_k2so_1.jpg,8/9/2017,-0.8,,,1,Marvel,
648,Captain Phasma #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/captain_phasma_1.jpg,9/6/2017,34.101,,Captain Phasma,1,Marvel,
649,Captain Phasma #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/captain_phasma_2.jpg,9/20/2017,34.102,,Captain Phasma,2,Marvel,
650,Captain Phasma #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/captain_phasma_3.jpg,10/4/2017,34.103,,Captain Phasma,3,Marvel,
651,Captain Phasma #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/captain_phasma_4.jpg,10/18/2017,34.105,,Captain Phasma,4,Marvel,
652,The Force Awakens,TPB Adaptation,https://minirogue.github.io/SWCovers/TPB/the_force_awakens.jpg,11/21/2017,34,Collected edition of the omic adaptation of Episode VII.,The Force Awakens (comic),,Marvel,
653,Rogue One: A Star Wars Story,TPB Adaptation,https://minirogue.github.io/SWCovers/TPB/rogue_one.jpg,12/12/2017,-0.1,,Rogue One: A Star Wars Story (comic),,Marvel,
654,Storms of Crait #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/storms_of_crait_1.jpg,12/27/2017,1.00885,,,1,Marvel,
655,DJ - Most Wanted #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/dj_most_wanted_1.jpg,1/31/2019,34.24,,,1,Marvel,
656,The Last Jedi #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_last_jedi_1.jpg,5/9/2018,34.5001,,The Last Jedi (Comic),1,Marvel,
657,The Last Jedi #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_last_jedi_2.jpg,5/23/2018,34.5002,,The Last Jedi (Comic),2,Marvel,
658,The Last Jedi #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_last_jedi_3.jpg,6/6/2018,34.5003,,The Last Jedi (Comic),3,Marvel,
659,The Last Jedi #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_last_jedi_4.jpg,7/4/2018,34.5004,,The Last Jedi (Comic),4,Marvel,
660,The Last Jedi #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_last_jedi_5.jpg,8/1/2018,34.5005,,The Last Jedi (Comic),5,Marvel,
661,The Last Jedi #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_last_jedi_6.jpg,9/12/2018,34.5006,,The Last Jedi (Comic),6,Marvel,
662,Beckett #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/beckett_1.jpg,8/15/2018,-12.7,,,1,Marvel,
663,Solo: A Star Wars Story #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/solo_1.jpg,10/10/2018,-11.999,,Solo: A Star Wars Story (comic),1,Marvel,
664,Solo: A Star Wars Story #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/solo_2.jpg,11/21/2018,-11.998,,Solo: A Star Wars Story (comic),2,Marvel,
665,Solo: A Star Wars Story #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/solo_3.jpg,12/19/2018,-11.997,,Solo: A Star Wars Story (comic),3,Marvel,
666,Solo: A Star Wars Story #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/solo_4.jpg,1/30/2019,-11.996,,Solo: A Star Wars Story (comic),4,Marvel,
667,Solo: A Star Wars Story #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/solo_5.jpg,2/20/2019,-11.995,,Solo: A Star Wars Story (comic),5,Marvel,
668,Solo: A Star Wars Story #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/solo_6.jpg,3/20/2019,-11.994,,Solo: A Star Wars Story (comic),6,Marvel,
